"Date","SBR","SBE","BSB","ExC","ExP","ImC","ImP","Man","Bld","UnE","UnC","CPI","PFB","PAT","PCF","PHE","PHH","PH","PT","PC","PRC","PE","DPU","TEx","TIm","ToT","M0","M1","M2","M3","ERE","ERA","USE","USA","Ref","Lom"
"2007-05-01",16853.6,19059.9,-2206.3,1412.7,-7.69999999999999,1537.2,-8.60000000000001,0.199999999999999,4.4,-118,76.9,0,-0.299999999999997,0,0.0999999999999943,0.200000000000003,0.200000000000003,0.0999999999999943,-0.700000000000003,0,0.399999999999991,0,8408,104.2,98.8,105.5,2627.09999999999,7711.5,2717.20000000001,4236.20000000001,2.84,2.8,3.82,3.78,4.25,5.75
"2007-06-01",17307.5,16656.9,650.6,91.6000000000022,-3.5,711.199999999997,3.2,-1.8,2.2,-90,76.2,0.299999999999997,0.100000000000009,0.599999999999994,0,0.299999999999997,0.199999999999989,0,1.60000000000001,0,0.100000000000009,0,8682,103.4,99.2,104.2,486.400000000009,2820,2006.5,145.399999999965,2.8,2.84,3.77,3.81,4.5,6
"2007-07-01",22305.6,18117.7,4187.9,-681.900000000001,8.8,180.300000000003,4.5,-1.6,-0.199999999999999,-39,76,-0.299999999999997,0,1.09999999999999,-0.399999999999991,0.0999999999999943,0.200000000000003,0.400000000000006,-0.799999999999997,-2.40000000000001,-3.30000000000001,0.300000000000011,11527,100.5,97.2,103.4,7185.89999999999,7344.59999999998,4733.90000000002,6309.90000000002,2.77,2.75,3.79,3.77,4.5,6
"2007-08-01",19725.1,19962.3,-237.2,194.799999999999,-4.40000000000001,-3009.2,-7.39999999999999,1.3,-0.600000000000001,-34.1999999999998,75.5,-0.799999999999997,-1.60000000000001,0.800000000000011,0.299999999999997,-0.0999999999999943,0.100000000000009,0,-1.5,-2,-2.3,0,11559,106.5,99,107.6,-3894.39999999999,-2173.29999999999,10210.7,10348.6,2.8,2.8,3.82,3.81,4.75,6.25
"2007-09-01",17546.9,17672.1,-125.2,2029.7,-5.3,3969.7,-2.80000000000001,-0.699999999999999,-1.8,-44.1000000000001,75.2,0.799999999999997,2.3,0.399999999999991,0.200000000000003,0,0.199999999999989,0,1.39999999999999,-0.0999999999999943,0.100000000000009,0.299999999999997,11038,101.9,99.5,102.4,-3008,8692.29999999999,1711.40000000002,-713.29999999993,2.66,2.73,3.78,3.79,4.75,6.25
"2007-10-01",20207.1,24789.9,-4582.8,4237.7,7.09999999999999,4257.5,5.60000000000001,-1.1,-1.8,-56.8999999999999,74.8,0.700000000000003,1.5,0.200000000000003,0.0999999999999943,0.0999999999999943,0,0.0999999999999943,2.60000000000001,0.0999999999999943,0,0.799999999999997,15983,102.7,98.5,104.3,3657.59999999999,-7077.5,4411,4614.09999999998,2.52,2.6,3.63,3.71,4.75,6.25
"2007-11-01",20554.1,22175,-1620.9,-2810.7,3.7,-1912,-2.2,-3.2,-3.6,-1.5,75.2,0.599999999999994,1,0.0999999999999943,0.100000000000009,0.100000000000009,0.100000000000009,0,2.59999999999999,0.300000000000011,0.399999999999991,0,13548,96.3,101.5,94.9,12464.6,10709.1,8214.90000000002,7013.90000000002,2.46,2.49,3.63,3.66,5,6.5
"2007-12-01",20682,30613.6,-9931.6,-7120.2,-6.89999999999999,-5701.2,-6.5,-0.400000000000002,-6.4,27.1999999999998,75.6,0.400000000000006,0.300000000000011,0.300000000000011,0,0.200000000000003,0.200000000000003,0.599999999999994,2.40000000000001,0.199999999999989,0.400000000000006,0.0999999999999943,17215,98.4,100.4,98,-7935.40000000001,21889,13255.4,12668.5,2.44,2.48,3.58,3.6,5,6.5
"2008-01-01",-213712.1,-234075.9,20363.7,5539.9,6.89999999999999,3315.39999999999,7.40000000000001,2.3,3,66.8000000000002,76.6,0,-0.100000000000009,0,-1,1.09999999999999,0.0999999999999943,0.100000000000009,-0.600000000000009,0.300000000000011,0,0.400000000000006,14640,99.7,100.1,99.6,-601.5,-4907.79999999999,6663.39999999991,7019.19999999995,2.44,2.45,3.63,3.61,5.25,6.75
"2008-02-01",20648.5,25192.5,-4543.9,1843,6.10000000000001,2034.5,13.2,1.7,-1.8,-34.9000000000001,76.3,0.200000000000003,-0.5,0.199999999999989,0.0999999999999943,2.09999999999999,0.0999999999999943,0.200000000000003,-1.3,-0.100000000000009,-0.299999999999997,0.0999999999999943,10977,99.1,96.8,102.4,-3224.7,-1638.40000000002,9574.30000000005,9313.19999999995,2.32,2.43,3.52,3.58,5.5,7
"2008-03-01",21355.6,19416.1,1939.5,-1086,-20.7,783.400000000001,-23.9,-0.199999999999999,1.6,-76.3,76.2,-0.100000000000009,-0.299999999999997,0.100000000000009,1.59999999999999,0.100000000000009,0,-0.300000000000011,-1.5,0,-0.100000000000009,0.100000000000009,9798,101,101,100,3342.10000000001,9275.09999999998,4594.5,3867,2.23,2.28,3.53,3.54,5.75,7.25
"2008-04-01",25959.1,27207.7,-1248.6,3182,24.7,2136.3,22.4,1.2,2.6,-96.5,76.4,-0.0999999999999943,-0.200000000000003,0.200000000000003,0,-0.100000000000009,-0.0999999999999943,0.100000000000009,-1.7,0,0.200000000000003,0,13717,98.7,97.1,101.6,1813.2,-10886.4,11806.2,12494.5,2.23,2.19,3.46,3.44,5.75,7.25
"2008-05-01",18207.9,20639.1,-2431.3,-4818.2,-22.4,-4468,-23.3,-2.2,2.3,-80.1000000000001,76.9,0.400000000000006,0.200000000000003,0.0999999999999943,-0.0999999999999943,1.40000000000001,0,0.200000000000003,0.299999999999997,0,0.200000000000003,0,9724,100.4,102.7,97.8,-5379.89999999999,16702,7325.80000000005,5818.70000000007,2.18,2.19,3.38,3.41,5.75,7.25
"2008-06-01",18879.4,20383.2,-1503.7,1477.5,9.2,2553.1,8,-3.2,0.599999999999998,-70.3,76.8,0.199999999999989,0.599999999999994,-0.200000000000003,-0.0999999999999943,0,0.0999999999999943,0.199999999999989,0.600000000000009,0.400000000000006,0.899999999999991,0,10427,95.9,99.6,96.3,15080.2,9858.29999999999,6249.69999999995,6446.69999999995,2.12,2.17,3.35,3.38,6,7.5
"2008-07-01",23181.9,22545.9,636,-302,5.09999999999999,-781.199999999997,-1.5,-3.1,-0.799999999999997,-32.3999999999999,76.7,0.200000000000003,0.200000000000003,-0.200000000000003,-0.5,0.299999999999997,0,0,0.299999999999997,0.0999999999999943,0.300000000000011,-0.100000000000009,14630,92.8,98.5,94.2,-5382.5,-779.799999999988,10002.9,9509.5,2.05,2.07,3.2,3.26,6,7.5
"2008-08-01",22109.4,19682.1,2427.3,-3635.3,-15.2,-4675.9,-0.599999999999994,0.699999999999999,-0.900000000000002,-18.5,77.1,0,-0.899999999999991,0.800000000000011,-0.5,0.299999999999997,0,-0.0999999999999943,-0.700000000000003,1.90000000000001,2,0.400000000000006,11184,94.8,95.4,99.4,638.800000000003,127.799999999988,9229.90000000002,12555.1,2.27,2.19,3.35,3.29,6,7.5
"2008-09-01",19380.6,23287.8,-3907.2,6517.5,12.7,6975.5,2.59999999999999,-3.4,-3.2,-27.8000000000002,77.4,-0.299999999999997,-1.80000000000001,0.699999999999989,1.39999999999999,0.5,0.100000000000009,0,-1.7,0,0,0.700000000000003,12387,96.2,99.6,96.6,726.599999999991,1985,4912.09999999998,1816,2.37,2.35,3.41,3.37,6,7.5
